Zeitstempel;Maschinen_ID;Status;Temperatur;produzierte_Stueckzahl;Fehlteile
2026-03-14 00:00:00;M-001;Produktion;217.0;42;1
2026-03-14 00:00:00;M-002;Produktion;231.3;53;1
2026-03-14 00:00:00;M-003;Produktion;207.3;33;1
2026-03-14 00:00:00;M-004;Produktion;244.5;62;1
2026-03-14 00:00:00;M-005;Produktion;218.0;47;0
2026-03-14 01:00:00;M-001;Produktion;215.1;43;0
2026-03-14 01:00:00;M-002;Produktion;229.6;54;2
2026-03-14 01:00:00;M-003;Produktion;205.2;37;0
2026-03-14 01:00:00;M-004;Produktion;243.0;59;2
2026-03-14 01:00:00;M-005;Produktion;223.2;46;1
2026-03-14 02:00:00;M-001;Produktion;217.7;45;2
2026-03-14 02:00:00;M-002;Produktion;232.5;52;1
2026-03-14 02:00:00;M-003;Produktion;209.1;38;0
2026-03-14 02:00:00;M-004;Produktion;242.2;63;1
2026-03-14 02:00:00;M-005;Produktion;218.9;43;0
2026-03-14 03:00:00;M-001;Produktion;215.3;36;0
2026-03-14 03:00:00;M-002;Produktion;227.5;59;0
2026-03-14 03:00:00;M-003;Produktion;206.5;31;2
2026-03-14 03:00:00;M-004;Produktion;248.2;54;1
2026-03-14 03:00:00;M-005;Produktion;219.4;48;2
2026-03-14 04:00:00;M-001;Produktion;215.4;43;0
2026-03-14 04:00:00;M-002;Produktion;227.8;51;1
2026-03-14 04:00:00;M-003;Produktion;203.4;38;1
2026-03-14 04:00:00;M-004;Produktion;248.8;59;2
2026-03-14 04:00:00;M-005;Produktion;219.5;46;0
2026-03-14 05:00:00;M-001;Produktion;214.9;40;1
2026-03-14 05:00:00;M-002;Produktion;229.1;54;1
2026-03-14 05:00:00;M-003;Produktion;208.8;38;0
2026-03-14 05:00:00;M-004;Produktion;240.8;66;1
2026-03-14 05:00:00;M-005;Produktion;218.4;43;1
2026-03-14 06:00:00;M-001;Produktion;212.1;43;0
2026-03-14 06:00:00;M-002;Produktion;232.2;51;0
2026-03-14 06:00:00;M-003;Produktion;206.8;37;0
2026-03-14 06:00:00;M-004;Produktion;245.0;62;1
2026-03-14 06:00:00;M-005;Produktion;216.2;47;1
2026-03-14 07:00:00;M-001;Produktion;215.7;41;0
2026-03-14 07:00:00;M-002;Produktion;229.1;48;0
2026-03-14 07:00:00;M-003;Produktion;206.0;40;0
2026-03-14 07:00:00;M-004;Produktion;244.9;59;1
2026-03-14 07:00:00;M-005;Produktion;225.8;51;0
2026-03-14 08:00:00;M-001;Produktion;214.7;42;0
2026-03-14 08:00:00;M-002;Produktion;225.0;53;1
2026-03-14 08:00:00;M-003;Produktion;204.3;38;0
2026-03-14 08:00:00;M-004;Produktion;248.8;64;2
2026-03-14 08:00:00;M-005;Produktion;223.4;45;2
2026-03-14 09:00:00;M-001;Produktion;216.1;47;0
2026-03-14 09:00:00;M-002;Produktion;231.2;65;0
2026-03-14 09:00:00;M-003;Produktion;205.3;41;0
2026-03-14 09:00:00;M-004;Produktion;248.6;61;1
2026-03-14 09:00:00;M-005;Produktion;219.0;48;0
2026-03-14 10:00:00;M-001;Produktion;213.7;44;0
2026-03-14 10:00:00;M-002;Produktion;236.4;46;0
2026-03-14 10:00:00;M-003;Produktion;207.8;40;2
2026-03-14 10:00:00;M-004;Produktion;248.3;59;1
2026-03-14 10:00:00;M-005;Produktion;221.9;46;0
2026-03-14 11:00:00;M-001;Produktion;216.0;42;0
2026-03-14 11:00:00;M-002;Produktion;231.8;51;0
2026-03-14 11:00:00;M-003;Produktion;205.3;42;1
2026-03-14 11:00:00;M-004;Produktion;248.1;56;2
2026-03-14 11:00:00;M-005;Produktion;220.2;47;1
2026-03-14 12:00:00;M-001;Produktion;217.9;45;1
2026-03-14 12:00:00;M-002;Wartung;57.9;0;0
2026-03-14 12:00:00;M-003;Produktion;213.8;40;1
