Zeitstempel;Maschinen_ID;Vibration_mm_s;Status;Produzierte_Stueck;Fehlteile;Temperatur_C
2025-01-01 00:00:00;Maschine_01;11,35;Produktion;100;2;68,5
2025-01-01 01:00:00;Maschine_01;10,0;Produktion;92;2;65,0
2025-01-01 02:00:00;Maschine_01;12,32;Produktion;90;2;69,6
2025-01-01 03:00:00;Maschine_01;13,38;Produktion;106;2;60,0
2025-01-01 04:00:00;Maschine_01;9,36;Produktion;105;2;69,3
2025-01-01 05:00:00;Maschine_01;12,64;Produktion;101;2;66,9
2025-01-01 06:00:00;Maschine_01;16,86;Produktion;108;3;69,9
2025-01-01 07:00:00;Maschine_01;12,23;Produktion;103;2;75,1
2025-01-01 08:00:00;Maschine_01;12,12;Produktion;109;2;71,2
2025-01-01 09:00:00;Maschine_01;14,19;Produktion;97;2;63,4
2025-01-01 10:00:00;Maschine_01;14,26;Produktion;95;2;63,0
2025-01-01 11:00:00;Maschine_01;13,51;Produktion;107;2;62,1
2025-01-01 12:00:00;Maschine_01;13,35;Produktion;97;2;71,2
2025-01-01 13:00:00;Maschine_01;14,2;Produktion;105;2;78,5
2025-01-01 14:00:00;Maschine_01;13,42;Produktion;102;2;74,3
2025-01-01 15:00:00;Maschine_01;13,51;Produktion;96;2;66,2
2025-01-01 16:00:00;Maschine_01;10,21;Produktion;100;2;61,6
2025-01-01 17:00:00;Maschine_01;13,98;Produktion;94;2;64,2
2025-01-01 18:00:00;Maschine_01;13,34;Produktion;98;2;70,1
2025-01-01 19:00:00;Maschine_01;10,76;Produktion;94;2;71,6
2025-01-01 20:00:00;Maschine_01;14,24;Produktion;90;2;73,3
2025-01-01 21:00:00;Maschine_01;13,51;Produktion;94;2;67,4
2025-01-01 22:00:00;Maschine_01;15,26;Produktion;98;2;69,4
2025-01-01 23:00:00;Maschine_01;12,1;Produktion;108;2;68,8
2025-01-02 00:00:00;Maschine_01;13,18;Produktion;93;2;66,4
2025-01-02 01:00:00;Maschine_01;12,72;Produktion;100;2;69,0
2025-01-02 02:00:00;Maschine_01;15,48;Produktion;99;2;71,4
2025-01-02 03:00:00;Maschine_01;13,8;Produktion;101;2;72,4
2025-01-02 04:00:00;Maschine_01;15,1;Produktion;96;2;68,7
2025-01-02 05:00:00;Maschine_01;12,66;Produktion;109;2;69,4
2025-01-02 06:00:00;Maschine_01;11,02;Produktion;98;2;63,1
2025-01-02 07:00:00;Maschine_01;15,96;Produktion;104;3;67,6
2025-01-02 08:00:00;Maschine_01;12,32;Produktion;109;2;65,2
2025-01-02 09:00:00;Maschine_01;13,43;Produktion;96;2;67,4
2025-01-02 10:00:00;Maschine_01;10,17;Produktion;106;2;66,9
2025-01-02 11:00:00;Maschine_01;12,38;Produktion;90;2;67,1
2025-01-02 12:00:00;Maschine_01;12,18;Produktion;95;2;65,8
2025-01-02 13:00:00;Maschine_01;14,2;Produktion;106;2;63,2
2025-01-02 14:00:00;Maschine_01;11,84;Produktion;95;2;72,9
2025-01-02 15:00:00;Maschine_01;14,87;Produktion;98;2;66,4
2025-01-02 16:00:00;Maschine_01;11,56;Produktion;109;2;65,0
2025-01-02 17:00:00;Maschine_01;11,4;Produktion;108;2;64,6
2025-01-02 18:00:00;Maschine_01;11,97;Produktion;97;2;66,3
2025-01-02 19:00:00;Maschine_01;13,98;Produktion;107;2;67,2
2025-01-02 20:00:00;Maschine_01;14,27;Produktion;109;3;62,9
2025-01-02 21:00:00;Maschine_01;10,64;Produktion;101;2;67,9
